Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,ticket_num,ticket_cat
0,3,male,22,1,0,7.25,Other,S,21171,A5
1,1,female,38,1,0,71.28,C,C,17599,PC
1,3,female,26,0,0,7.92,Other,S,3101282,STONO2
1,1,female,35,1,0,53.1,C,S,113803,Other
0,3,male,35,0,0,8.05,Other,S,373450,Other
0,3,male,29,0,0,8.46,Other,Q,330877,Other
0,1,male,54,0,0,51.86,E,S,17463,Other
0,3,male,2,3,1,21.08,Other,S,349909,Other
1,3,female,27,0,2,11.13,Other,S,347742,Other
1,2,female,14,1,0,30.07,Other,C,237736,Other
1,3,female,4,1,1,16.7,G,S,9549,PP
1,1,female,58,0,0,26.55,C,S,113783,Other
0,3,male,20,0,0,8.05,Other,S,2151,A5
0,3,female,14,0,0,7.85,Other,S,350406,Other
1,2,female,55,0,0,16.0,Other,S,248706,Other
0,3,male,2,4,1,29.12,Other,Q,382652,Other
1,2,male,29,0,0,13.0,Other,S,244373,Other
0,3,female,31,1,0,18.0,Other,S,345763,Other
1,3,female,29,0,0,7.22,Other,C,2649,Other
0,2,male,35,0,0,26.0,Other,S,239865,Other
1,2,male,34,0,0,13.0,D,S,248698,Other
1,3,female,15,0,0,8.03,Other,Q,330923,Other
1,1,male,28,0,0,35.5,A,S,113788,Other
0,3,female,8,3,1,21.08,Other,S,349909,Other
0,3,male,29,0,0,7.22,Other,C,2631,Other
1,3,female,29,0,0,7.88,Other,Q,330959,Other
0,3,male,29,0,0,7.9,Other,S,349216,Other
0,1,male,40,0,0,27.72,Other,C,17601,PC
1,1,female,29,1,0,146.52,B,C,17569,PC
1,3,female,29,0,0,7.75,Other,Q,335677,Other
0,2,male,66,0,0,10.5,Other,S,24579,CA
0,1,male,28,1,0,82.17,Other,C,17604,PC
0,1,male,42,1,0,52.0,Other,S,113789,Other
1,3,male,29,0,0,7.23,Other,C,2677,Other
0,3,male,21,0,0,8.05,Other,S,2152,A5
0,3,female,18,2,0,18.0,Other,S,345764,Other
1,3,female,14,1,0,11.24,Other,C,2651,Other
0,3,female,40,1,0,9.48,Other,S,7546,Other
0,2,female,27,1,0,21.0,Other,S,11668,Other
0,3,male,29,0,0,7.9,Other,C,349253,Other
1,2,female,3,1,2,41.58,Other,C,2123,SCParis
1,3,female,19,0,0,7.88,Other,Q,330958,Other
0,3,male,29,0,0,8.05,Other,S,23567,Other
0,3,male,29,1,0,15.5,Other,Q,370371,Other
1,3,female,29,0,0,7.75,Other,Q,14311,Other
0,3,male,29,2,0,21.68,Other,C,2662,Other
0,3,female,18,1,0,17.8,Other,S,349237,Other
0,3,male,7,4,1,39.69,Other,S,3101295,Other
0,3,male,21,0,0,7.8,Other,S,39886,A4
1,1,female,49,1,0,76.73,D,C,17572,PC
1,2,female,29,1,0,26.0,Other,S,2926,Other
0,1,male,65,0,1,61.98,B,C,113509,Other
1,1,male,29,0,0,35.5,C,S,19947,Other
1,2,female,21,0,0,10.5,Other,S,31026,CA
0,3,male,28,0,0,7.23,Other,C,2697,Other
1,2,female,5,1,2,27.75,Other,S,34651,CA
0,3,male,22,0,0,7.23,Other,C,2669,Other
0,1,male,45,1,0,83.48,C,S,36973,Other
0,3,male,4,3,2,27.9,Other,S,347088,Other
0,1,male,29,0,0,27.72,Other,C,17605,PC
1,3,male,29,1,1,15.25,Other,C,2661,Other
1,2,female,29,0,0,10.5,F,S,29395,CA
0,3,male,19,0,0,8.16,Other,S,3464,Other
1,3,female,17,4,2,7.92,Other,S,3101281,Other
0,3,male,26,2,0,8.66,Other,S,315151,Other
0,2,male,32,0,0,10.5,Other,S,33111,CA
0,2,male,21,0,0,73.5,Other,S,14879,SOC
0,3,male,26,1,0,14.45,Other,C,2680,Other
1,3,male,32,0,0,56.5,Other,S,1601,Other
0,3,male,25,0,0,7.65,F,S,348123,Other
0,3,male,29,0,0,7.9,Other,S,349208,Other
0,3,male,29,0,0,8.05,Other,S,374746,Other
1,2,male,0,0,2,29.0,Other,S,248738,Other
1,3,female,30,0,0,12.48,Other,S,364516,Other
0,3,male,22,0,0,9.0,Other,S,345767,Other
1,3,male,29,0,0,9.5,Other,S,345779,Other
1,3,female,29,0,0,7.79,Other,Q,330932,Other
0,1,male,28,0,0,47.1,Other,S,113059,Other
1,2,female,17,0,0,10.5,Other,S,14885,SOC
1,3,female,33,3,0,15.85,Other,S,3101278,Other
0,3,male,29,0,0,8.05,Other,S,392086,SOTONOQ
